# BTC/ETH daily — sanity-check fixture (NOT canonical)
# source: CoinMetrics community data (PriceUSD, close-only reference rate)
# OHLC are degenerate: open=high=low=close=PriceUSD, volume=0
#   => Donchian here is Donchian-on-CLOSE, not high/low. Sanity only.
# canonical OHLCV = Binance via ccxt (CcxtLoader), V2-T validation.
# range: 2019-01-01..2024-12-31  built by build_fixture.py
date,open,high,low,close,volume
2019-01-01,139.154644360023,139.154644360023,139.154644360023,139.154644360023,0
2019-01-02,154.426368790181,154.426368790181,154.426368790181,154.426368790181,0
2019-01-03,147.06208679135,147.06208679135,147.06208679135,147.06208679135,0
2019-01-04,153.442376972531,153.442376972531,153.442376972531,153.442376972531,0
2019-01-05,154.301756867329,154.301756867329,154.301756867329,154.301756867329,0
2019-01-06,155.940283167738,155.940283167738,155.940283167738,155.940283167738,0
2019-01-07,150.346131794272,150.346131794272,150.346131794272,150.346131794272,0
2019-01-08,149.052762711864,149.052762711864,149.052762711864,149.052762711864,0
2019-01-09,149.62985622443,149.62985622443,149.62985622443,149.62985622443,0
2019-01-10,126.929803915839,126.929803915839,126.929803915839,126.929803915839,0
2019-01-11,124.970574225599,124.970574225599,124.970574225599,124.970574225599,0
2019-01-12,124.329310637054,124.329310637054,124.329310637054,124.329310637054,0
2019-01-13,115.339895382817,115.339895382817,115.339895382817,115.339895382817,0
2019-01-14,128.323583869082,128.323583869082,128.323583869082,128.323583869082,0
2019-01-15,120.32987609585,120.32987609585,120.32987609585,120.32987609585,0
2019-01-16,122.420913793103,122.420913793103,122.420913793103,122.420913793103,0
2019-01-17,122.647751607247,122.647751607247,122.647751607247,122.647751607247,0
2019-01-18,119.485191408533,119.485191408533,119.485191408533,119.485191408533,0
2019-01-19,123.487991233197,123.487991233197,123.487991233197,123.487991233197,0
2019-01-20,117.515231735827,117.515231735827,117.515231735827,117.515231735827,0
2019-01-21,115.918843074226,115.918843074226,115.918843074226,115.918843074226,0
2019-01-22,117.97571975453,117.97571975453,117.97571975453,117.97571975453,0
2019-01-23,116.313436586791,116.313436586791,116.313436586791,116.313436586791,0
2019-01-24,116.326357977791,116.326357977791,116.326357977791,116.326357977791,0
2019-01-25,114.967366452367,114.967366452367,114.967366452367,114.967366452367,0
2019-01-26,115.040040035067,115.040040035067,115.040040035067,115.040040035067,0
2019-01-27,111.82207685564,111.82207685564,111.82207685564,111.82207685564,0
2019-01-28,105.667155756867,105.667155756867,105.667155756867,105.667155756867,0
2019-01-29,104.227875803624,104.227875803624,104.227875803624,104.227875803624,0
2019-01-30,107.66988603156,107.66988603156,107.66988603156,107.66988603156,0
2019-01-31,105.739236119229,105.739236119229,105.739236119229,105.739236119229,0
2019-02-01,106.634947691409,106.634947691409,106.634947691409,106.634947691409,0
2019-02-02,108.571131794272,108.571131794272,108.571131794272,108.571131794272,0
2019-02-03,106.021722676797,106.021722676797,106.021722676797,106.021722676797,0
2019-02-04,106.026675628288,106.026675628288,106.026675628288,106.026675628288,0
2019-02-05,106.135586499123,106.135586499123,106.135586499123,106.135586499123,0
2019-02-06,103.394712156634,103.394712156634,103.394712156634,103.394712156634,0
2019-02-07,103.299053769725,103.299053769725,103.299053769725,103.299053769725,0
2019-02-08,117.501485096435,117.501485096435,117.501485096435,117.501485096435,0
2019-02-09,118.103963471654,118.103963471654,118.103963471654,118.103963471654,0
2019-02-10,123.577868205728,123.577868205728,123.577868205728,123.577868205728,0
2019-02-11,119.726615429573,119.726615429573,119.726615429573,119.726615429573,0
2019-02-12,120.828701928697,120.828701928697,120.828701928697,120.828701928697,0
2019-02-13,120.690225891292,120.690225891292,120.690225891292,120.690225891292,0
2019-02-14,119.68091320865,119.68091320865,119.68091320865,119.68091320865,0
